"id_cliente","nome","data_compra","valor_compra","loja_cadastro","id_cliente","id_transacao","data_compra","valor","id_loja"
"5","'jose'","2020-07-01","500.43","'cea'","1","768805383","2021-06-10","50.74","'magalu'"
"5","'jose'","2020-07-01","500.43","'cea'","2","768805399","2021-06-13","30.9","'giraffas'"
"5","'jose'","2020-07-01","500.43","'cea'","3","818770008","2021-06-05","110.0","'postoshell'"
"5","'jose'","2020-07-01","500.43","'cea'","1","76856563","2021-07-10","2000.9","'magalu'"
"5","'jose'","2020-07-01","500.43","'cea'","1","767573759","2021-06-20","15.7","'subway'"
"5","'jose'","2020-07-01","500.43","'cea'","3","818575758","2021-06-25","2.99","'seveneleven'"
"5","'jose'","2020-07-01","500.43","'cea'","4","764545534","2021-07-11","50.74","'extra'"
"5","'jose'","2020-07-01","500.43","'cea'","5","76766789","2021-08-02","10.0","'subway'"
"5","'jose'","2020-07-01","500.43","'cea'","3","8154567758","2021-08-15","1100.0","'shopee'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","1","768805383","2021-06-10","50.74","'magalu'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","2","768805399","2021-06-13","30.9","'giraffas'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","3","818770008","2021-06-05","110.0","'postoshell'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","1","76856563","2021-07-10","2000.9","'magalu'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","1","767573759","2021-06-20","15.7","'subway'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","3","818575758","2021-06-25","2.99","'seveneleven'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","4","764545534","2021-07-11","50.74","'extra'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","5","76766789","2021-08-02","10.0","'subway'"
"1","'maria'","2019-03-02","150.7","'riachuelo'","3","8154567758","2021-08-15","1100.0","'shopee'"
"2","'valentina'","2020-01-09","210.99","'zara'","1","768805383","2021-06-10","50.74","'magalu'"
"2","'valentina'","2020-01-09","210.99","'zara'","2","768805399","2021-06-13","30.9","'giraffas'"
"2","'valentina'","2020-01-09","210.99","'zara'","3","818770008","2021-06-05","110.0","'postoshell'"
"2","'valentina'","2020-01-09","210.99","'zara'","1","76856563","2021-07-10","2000.9","'magalu'"
"2","'valentina'","2020-01-09","210.99","'zara'","1","767573759","2021-06-20","15.7","'subway'"
"2","'valentina'","2020-01-09","210.99","'zara'","3","818575758","2021-06-25","2.99","'seveneleven'"
"2","'valentina'","2020-01-09","210.99","'zara'","4","764545534","2021-07-11","50.74","'extra'"
"2","'valentina'","2020-01-09","210.99","'zara'","5","76766789","2021-08-02","10.0","'subway'"
"2","'valentina'","2020-01-09","210.99","'zara'","3","8154567758","2021-08-15","1100.0","'shopee'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","1","768805383","2021-06-10","50.74","'magalu'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","2","768805399","2021-06-13","30.9","'giraffas'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","3","818770008","2021-06-05","110.0","'postoshell'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","1","76856563","2021-07-10","2000.9","'magalu'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","1","767573759","2021-06-20","15.7","'subway'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","3","818575758","2021-06-25","2.99","'seveneleven'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","4","764545534","2021-07-11","50.74","'extra'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","5","76766789","2021-08-02","10.0","'subway'"
"4","'joana'","2019-05-11","1300.5","'pontofrio'","3","8154567758","2021-08-15","1100.0","'shopee'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","1","768805383","2021-06-10","50.74","'magalu'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","2","768805399","2021-06-13","30.9","'giraffas'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","3","818770008","2021-06-05","110.0","'postoshell'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","1","76856563","2021-07-10","2000.9","'magalu'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","1","767573759","2021-06-20","15.7","'subway'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","3","818575758","2021-06-25","2.99","'seveneleven'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","4","764545534","2021-07-11","50.74","'extra'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","5","76766789","2021-08-02","10.0","'subway'"
"6","'fernando'","2020-03-02","86.55","'pontofrio' ","3","8154567758","2021-08-15","1100.0","'shopee'"
